2025-11-06 15:38:20 [info] L-Connect swap -> MB_on
2025-11-06 16:10:01 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:10:16 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:10:31 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:10:47 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:11:02 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:11:17 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:11:33 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:11:48 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:12:03 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:12:19 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:12:34 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:12:49 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:13:04 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:13:20 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:13:35 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:13:50 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:14:06 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:14:21 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:14:36 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:14:52 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:15:07 [info] hb state=normal cpu=16 gpu=0 game=False
2025-11-06 16:15:22 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:15:38 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:15:53 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:16:08 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:16:23 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:16:39 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:16:54 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:17:09 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:17:25 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:17:40 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:17:55 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:18:11 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:18:26 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:18:41 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:18:57 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:19:12 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:19:27 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:19:42 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:19:58 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:20:13 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:20:28 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:20:44 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:20:59 [info] hb state=normal cpu=8 gpu=0 game=False
2025-11-06 16:21:14 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:21:30 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:21:45 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:22:00 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:22:16 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:22:31 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:22:46 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:23:02 [info] hb state=normal cpu=9 gpu=0 game=False
2025-11-06 16:23:17 [info] hb state=normal cpu=11 gpu=0 game=False
2025-11-06 16:23:32 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:23:48 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:24:03 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:24:18 [info] hb state=normal cpu=7 gpu=0 game=False
2025-11-06 16:24:34 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:24:49 [info] hb state=normal cpu=6 gpu=0 game=False
2025-11-06 16:25:04 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:25:20 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:25:35 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:25:50 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:26:06 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:26:21 [info] hb state=normal cpu=5 gpu=0 game=False
2025-11-06 16:26:36 [info] hb state=normal cpu=3 gpu=0 game=False
2025-11-06 16:26:51 [info] hb state=normal cpu=4 gpu=0 game=False
2025-11-06 16:27:07 [info] hb state=normal cpu=6 gpu=0 game=False
